k,sse,silhouette
2,158.78440273526832,0.3881395888566257
3,99.62765715967814,0.4366882072735656
4,68.17715075302885,0.4649663528002986
5,51.43252795879961,0.4271584261884158
6,41.68386443893839,0.4205739497984121
7,35.23221855518227,0.42401436548114935
8,29.60733536963506,0.40305522298143
9,26.802488717003747,0.3879296671005047
10,24.21476624146232,0.3815551342698342
11,22.254800525427086,0.38873579203527797
12,20.55579347947397,0.38356999886076293
