model,feature_set,accuracy,balanced_accuracy,precision_serious,recall_serious,f1_serious,pr_auc,roc_auc,threshold
LogisticRegression,full_with_cluster,0.5498688774215379,0.5851336195932089,0.0412892093424539,0.6226765799256505,0.0774432179390857,0.0445900391611608,0.6153926610330718,0.5
RandomForest,full_with_cluster,0.9690945492485126,0.5010596233360861,0.1153846153846153,0.0027881040892193,0.0054446460980036,0.0442866531283678,0.5934522972338795,0.5
XGBoost,full_with_cluster,0.8374362011110171,0.543905930020455,0.0480046269519953,0.2314126394052044,0.079514609612007,0.0421664972276213,0.5884390017062512,0.5
XGBoost+SMOTE,full_with_cluster,0.9694047316921862,0.5003192802285553,0.0909090909090909,0.0009293680297397,0.0018399264029438,0.040434851746689,0.5827951050923432,0.5
XGBoost+ThresholdTuned,full_with_cluster,0.9500042297605956,0.5096716760883635,0.0560509554140127,0.0408921933085501,0.0472864051585169,0.0421664972276213,0.5884390017062512,0.6917101144790649
