feature_set,accuracy,balanced_accuracy,pr_auc,roc_auc,f1_serious,recall_serious
time_only,0.7900346840368835,0.5568254753487609,0.043329212582836,0.5976515747986806,0.0818742293464858,0.3085501858736059
time_weather,0.839438287792911,0.554841456900534,0.0444479625498529,0.5881439239109013,0.086914688903143,0.2518587360594795
time_weather_spatial,0.8298226320390266,0.5543846241495906,0.0436937863627786,0.592445754387816,0.0851902379869637,0.2611524163568773
full_with_cluster,0.8374362011110171,0.543905930020455,0.0421664972276213,0.5884390017062512,0.079514609612007,0.2314126394052044
